Name,diameter,H,albedo,date_closest,closest distance
  1566 Icarus (1949 MA),1.0,16.35,0.51,2024-06-09 00:00:00,30767248.349636238
  1620 Geographos (1951 RA),2.56,15.30,0.290,2026-08-12 00:00:00,25497887.1002789
  1862 Apollo (1932 HA),1.5,16.12,0.25,2023-05-30 00:00:00,31839090.381707836
  1981 Midas (1973 EA),3.4,15.22,,2025-06-17 00:00:00,100208544.70010312
  2101 Adonis (1936 CA),0.6,18.64,,2025-08-20 00:00:00,61621337.767574996
  2102 Tantalus (1975 YA),1.649,16.00,0.245,2023-06-19 00:00:00,107047861.69957209
  2201 Oljato (1947 XC),1.80,15.25,0.4328,2028-04-13 00:00:00,50288941.56099051
  2340 Hathor (1976 UA),0.3,20.33,,2026-01-17 00:00:00,15629031.051688194
  3122 Florence (1981 ET3),4.9,14.04,0.231,2024-10-01 00:00:00,57099855.59440713
  3200 Phaethon (1983 TB),6.25,14.34,0.1066,2027-12-23 00:00:00,39727942.00171128
  3361 Orpheus (1982 HR),0.3,19.27,0.357,2025-11-19 00:00:00,5673584.609154979
  3362 Khufu (1984 QA),0.7,18.30,0.21,2029-10-23 00:00:00,196442894.39598447
  3671 Dionysus (1984 KD),1.5,16.49,0.16,2023-09-03 00:00:00,72262498.09353092
  3757 Anagolay (1982 XB),0.5,18.90,0.18,2023-04-17 00:00:00,154223763.56280434
  4015 Wilson-Harrington (1979 VA),4,16.02,0.05,2023-01-01 00:00:00,130208276.55249608
  4034 Vishnu (1986 PA),0.42,18.41,0.52,2025-04-01 00:00:00,23454240.473243605
  4179 Toutatis (1989 AC),5.4,15.24,0.405,2025-02-04 00:00:00,145408441.17282167
  4183 Cuno (1959 LM),3.651,14.13,0.097,2026-04-05 00:00:00,41132708.142960414
  4486 Mithra (1987 SB),1.849,15.53,0.297,2023-04-12 00:00:00,24336951.64311505
  4660 Nereus (1982 DB),0.33,18.62,0.55,2024-06-03 00:00:00,127110579.75924367
  4769 Castalia (1989 PB),1.4,17.48,0.092,2023-08-22 00:00:00,16470660.36536226
  5604 (1992 FE),0.55,17.27,0.48,2027-06-07 00:00:00,32686698.350549188
  6489 Golevka (1991 JX),0.53,19.20,0.151,2023-02-07 00:00:00,258460188.02225527
  7335 (1989 JA),1.8,17.53,0.448,2029-09-13 00:00:00,40340963.77571637
  7341 (1991 VK),0.982,16.91,0.235,2027-01-22 00:00:00,10192902.746056978
  7482 (1994 PC1),1.052,16.58,0.277,2025-06-28 00:00:00,97077346.82621442
  7822 (1991 CS),1.602,17.33,0.075,2027-08-15 00:00:00,67363809.41363296
  8014 (1990 MF),0.7,18.95,,2027-06-08 00:00:00,53986655.81108038
  8566 (1996 EN),1.568,16.39,0.217,2024-03-08 00:00:00,139077715.03858253
  9856 (1991 EE),1.0,16.96,0.3,2028-09-10 00:00:00,14467884.82060805
 10115 (1992 SK),0.938,17.08,0.318,2024-08-26 00:00:00,34267270.37990632
 11500 Tomaiyowit (1989 UR),0.738,18.32,0.142,2028-06-12 00:00:00,13290155.020835139
 12538 (1998 OH),1.663,15.92,0.232,2023-01-01 00:00:00,104769922.86957112
 12923 Zephyr (1999 GK4),2.060,15.77,0.199,2024-04-29 00:00:00,165275006.11716872
 13651 (1997 BR),0.562,17.81,0.511,2028-03-03 00:00:00,93934608.17434804
 14827 Hypnos (1986 JK),0.9,18.30,,2024-06-03 00:00:00,11736696.908023624
 25143 Itokawa (1998 SF36),0.33,19.00,,2027-10-04 00:00:00,89568542.26439603
 29075 (1950 DA),2.000,17.22,0.070,2023-07-23 00:00:00,42399022.55602818
 33342 (1998 WT24),0.432,17.85,0.654,2029-11-26 00:00:00,7415730.269486347
 35107 (1991 VH),0.929,16.76,0.408,2025-08-02 00:00:00,11689757.056494748
 35396 (1997 XF11),0.704,16.91,0.772,2028-10-26 00:00:00,988353.8952585271
 39572 (1993 DQ1),1.554,16.47,0.184,2028-03-07 00:00:00,234396506.3517898
 41429 (2000 GE2),0.204,20.38,0.267,2028-08-28 00:00:00,34481677.31994976
 52760 (1998 ML14),1.0,17.48,,2028-07-23 00:00:00,23491688.560911488
 52768 (1998 OR2),1.75,16.00,,2024-08-07 00:00:00,232868292.20115608
 53319 (1999 JM8),7.,15.25,,2026-05-10 00:00:00,101189515.74318893
 53789 (2000 ED104),0.843,17.33,0.222,2026-10-22 00:00:00,85695752.75921929
 65679 (1989 UQ),0.918,19.46,0.033,2024-10-16 00:00:00,23326406.704455297
 65803 Didymos (1996 GT),0.78,18.07,,2023-01-01 00:00:00,39409472.03700156
 66391 Moshup (1999 KW4),1.317,16.59,,2023-06-13 00:00:00,85694209.48316984
 68216 (2001 CV26),0.994,16.52,0.449,2025-03-05 00:00:00,100127769.19011821
 68346 (2001 KZ66),0.736,16.80,0.291,2027-11-29 00:00:00,45719983.31644961
 68548 (2001 XR31),1.182,16.61,0.289,2023-08-06 00:00:00,18113627.98888149
 68950 (2002 QF15),1.650,16.36,0.178,2028-10-31 00:00:00,28858404.22797121
 85182 (1991 AQ),1.1,17.07,0.242,2024-03-04 00:00:00,55276032.968758374
 85713 (1998 SS49),3.484,15.64,0.076,2023-01-01 00:00:00,79435439.85557494
 85774 (1998 UT18),0.939,19.07,0.042,2023-11-13 00:00:00,52075463.08129988
 85989 (1999 JD6),1.462,17.06,0.056,2025-07-16 00:00:00,36427804.302621625
 85990 (1999 JV6),0.451,20.16,0.095,2023-01-26 00:00:00,76939310.99688761
 86039 (1999 NC43),2.22,15.96,0.14,2028-03-05 00:00:00,55947954.58585181
 86819 (2000 GK137),0.802,17.37,0.301,2028-11-03 00:00:00,141678197.79140654
 88254 (2001 FM129),0.800,17.71,0.252,2028-03-13 00:00:00,12654552.766772235
 89830 (2002 CE),5.067,14.98,0.079,2025-09-10 00:00:00,105329272.63646072
 89959 (2002 NT7),1.407,16.44,0.224,2028-02-24 00:00:00,72603614.00111699
 90075 (2002 VU94),2.233,15.37,0.294,2023-10-06 00:00:00,181212553.75451475
 90403 (2003 YE45),0.572,17.74,0.493,2030-01-01 00:00:00,61559249.22270481
 90416 (2003 YK118),0.968,18.60,0.062,2026-04-20 00:00:00,26906818.48641073
 99248 (2001 KY66),1.115,16.53,0.429,2024-11-24 00:00:00,78582113.73741663
 99942 Apophis (2004 MN4),0.34,19.09,0.35,2029-04-14 00:00:00,65153.7516209723
